종목,현재가,대비,시가,고가,저가,거래량,미결제,등락
코스피200 C 202009 215.0,"53.75",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202009 217.5,"51.40",0.00,"0.00","0.00","0.00","0","27",0
코스피200 C 202009 220.0,"49.05",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202009 222.5,"46.75",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202009 225.0,"44.40",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202009 227.5,"42.15",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202009 230.0,"39.95",0.00,"0.00","0.00","0.00","0","2,550",0
코스피200 C 202009 232.5,"37.70",0.00,"0.00","0.00","0.00","0","3",0
코스피200 C 202009 235.0,"35.50",0.00,"0.00","0.00","0.00","0","1,208",0
코스피200 C 202009 237.5,"33.40",0.00,"0.00","0.00","0.00","0","15",0
코스피200 C 202009 240.0,"31.30",0.00,"0.00","0.00","0.00","0","1,216",0
코스피200 C 202009 242.5,"29.25",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202009 245.0,"27.15",0.00,"0.00","0.00","0.00","0","3,707",0
코스피200 C 202009 247.5,"25.55",0.25,"24.90","25.55","24.00","19","6",1
코스피200 C 202009 250.0,"23.40",0.00,"0.00","0.00","0.00","0","10,187",0
코스피200 C 202009 252.5,"23.40",0.00,"0.00","0.00","0.00","0","3",0
코스피200 C 202009 255.0,"19.55",0.00,"0.00","0.00","0.00","0","9",0
코스피200 C 202009 257.5,"18.80",0.00,"0.00","0.00","0.00","0","1",0
코스피200 C 202009 260.0,"15.00",0.00,"0.00","0.00","0.00","0","4,266",0
코스피200 C 202009 262.5,"14.70",0.00,"0.00","0.00","0.00","0","4",0
코스피200 C 202009 265.0,"13.20",0.00,"0.00","0.00","0.00","0","7",0
코스피200 C 202009 267.5,"11.85",0.00,"0.00","0.00","0.00","0","1",0
코스피200 C 202009 270.0,"10.40",0.91,"9.50","10.40","9.50","4","1,087",1
코스피200 C 202009 272.5,"9.20",0.00,"0.00","0.00","0.00","0","260",0
코스피200 C 202009 275.0,"8.13",0.00,"0.00","0.00","0.00","0","1,011",0
코스피200 C 202009 277.5,"7.06",0.00,"0.00","0.00","0.00","0","101",0
코스피200 C 202009 280.0,"6.06",0.00,"0.00","0.00","0.00","0","3,413",0
코스피200 C 202009 282.5,"5.25",0.00,"0.00","0.00","0.00","0","139",0
코스피200 C 202009 285.0,"4.44",0.00,"0.00","0.00","0.00","0","2,198",0
코스피200 C 202009 287.5,"3.70",0.00,"0.00","0.00","0.00","0","16",0
코스피200 C 202009 290.0,"2.98",0.30,"2.90","3.00","2.70","38","2,870",1
코스피200 C 202009 292.5,"2.46",0.11,"2.46","2.46","2.46","2","22",2
코스피200 C 202009 295.0,"2.13",0.00,"0.00","0.00","0.00","0","2,117",0
코스피200 C 202009 297.5,"1.91",0.00,"0.00","0.00","0.00","0","13",0
코스피200 C 202009 300.0,"1.50",0.02,"1.41","1.50","1.41","11","1,808",1
코스피200 C 202009 302.5,"1.27",0.00,"0.00","0.00","0.00","0","32",0
코스피200 C 202009 305.0,"0.93",0.00,"0.93","0.93","0.93","1","757",3
코스피200 C 202009 307.5,"0.72",0.01,"0.75","0.75","0.72","2","218",1
코스피200 C 202009 310.0,"0.63",0.05,"0.63","0.63","0.63","1","1,397",2
코스피200 C 202009 312.5,"0.58",0.00,"0.00","0.00","0.00","0","4",0
코스피200 C 202009 315.0,"0.53",0.00,"0.00","0.00","0.00","0","73",0
코스피200 C 202009 317.5,"0.39",0.00,"0.00","0.00","0.00","0","5",0
코스피200 C 202009 320.0,"0.29",0.00,"0.00","0.00","0.00","0","1,571",0
코스피200 C 202009 322.5,"0.28",0.00,"0.00","0.00","0.00","0","3",0
코스피200 C 202009 325.0,"0.24",0.04,"0.24","0.24","0.24","10","689",1
코스피200 C 202009 327.5,"0.17",0.00,"0.00","0.00","0.00","0","26",0
코스피200 C 202009 330.0,"0.15",0.00,"0.00","0.00","0.00","0","265",0
코스피200 C 202009 332.5,"0.13",0.00,"0.00","0.00","0.00","0","11",0
코스피200 C 202009 335.0,"0.13",0.02,"0.12","0.13","0.12","3","465",1
코스피200 C 202009 337.5,"0.11",0.00,"0.11","0.11","0.11","15","15",3
코스피200 C 202009 340.0,"0.11",0.02,"0.11","0.11","0.11","1","210",1
코스피200 C 202009 342.5,"0.09",0.01,"0.09","0.09","0.09","1","4",1
코스피200 C 202009 345.0,"0.07",0.00,"0.00","0.00","0.00","0","209",0
코스피200 C 202009 347.5,"0.06",0.00,"0.00","0.00","0.00","0","2",0
