종목,현재가,대비,시가,고가,저가,거래량,미결제,등락
코스피200 P 202008 242.5,"3.78",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 245.0,"4.32",0.00,"0.00","0.00","0.00","0","3",0
코스피200 P 202008 247.5,"5.07",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 250.0,"5.82",0.00,"0.00","0.00","0.00","0","3",0
코스피200 P 202008 252.5,"6.57",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 255.0,"7.47",0.00,"0.00","0.00","0.00","0","4",0
코스피200 P 202008 257.5,"8.48",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202008 260.0,"9.50",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 262.5,"10.50",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 265.0,"11.80",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 267.5,"13.10",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202008 270.0,"14.35",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 272.5,"15.70",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 275.0,"17.25",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 277.5,"18.85",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 280.0,"20.40",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 282.5,"22.05",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 285.0,"23.85",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 287.5,"25.70",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 290.0,"27.50",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 292.5,"29.35",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 295.0,"31.40",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 297.5,"33.45",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 300.0,"35.50",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 302.5,"37.55",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 305.0,"39.70",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 307.5,"41.90",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 310.0,"44.10",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 312.5,"46.35",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 315.0,"48.60",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 317.5,"50.90",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 320.0,"53.25",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 322.5,"55.55",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 325.0,"57.90",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 327.5,"60.30",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 330.0,"62.70",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 332.5,"65.10",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 335.0,"67.50",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 337.5,"69.90",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 340.0,"72.35",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 342.5,"74.80",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 160.0,"0.38",0.04,"0.39","0.40","0.36","187","1,818",1
코스피200 P 202009 162.5,"0.40",0.05,"0.40","0.40","0.40","1","72",1
코스피200 P 202009 165.0,"0.43",0.06,"0.43","0.43","0.43","1","55",1
코스피200 P 202009 167.5,"0.39",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 170.0,"0.52",0.12,"0.48","0.52","0.48","9","182",1
코스피200 P 202009 172.5,"0.46",0.00,"0.00","0.00","0.00","0","8",0
코스피200 P 202009 175.0,"0.59",0.12,"0.58","0.60","0.57","12","39",1
코스피200 P 202009 177.5,"0.53",0.00,"0.00","0.00","0.00","0","29",0
코스피200 P 202009 180.0,"0.70",0.09,"0.68","0.70","0.68","8","1,633",1
코스피200 P 202009 182.5,"0.61",0.00,"0.00","0.00","0.00","0","181",0
코스피200 P 202009 185.0,"0.80",0.00,"0.00","0.00","0.00","0","29",0
코스피200 P 202009 187.5,"0.77",0.00,"0.00","0.00","0.00","0","208",0
코스피200 P 202009 190.0,"0.85",0.00,"0.00","0.00","0.00","0","1,886",0
코스피200 P 202009 192.5,"0.88",0.00,"0.00","0.00","0.00","0","65",0
코스피200 P 202009 195.0,"1.09",0.21,"1.10","1.10","1.09","2","101",1
코스피200 P 202009 197.5,"1.18",0.27,"1.20","1.20","1.18","2","291",1
코스피200 P 202009 200.0,"1.13",0.00,"0.00","0.00","0.00","0","1,983",0
코스피200 P 202009 202.5,"1.43",0.16,"1.37","1.43","1.37","2","63",1
